Source,Date,Cumulative Score,Confidence,Text Count,Normalized Score
Yahoo,2024-09-24,5,0.9500316143035888,70,0.07142857142857142
Yahoo,2024-09-25,19,0.9513979923945887,108,0.17592592592592593
Yahoo,2024-09-26,5,0.9596587692169433,94,0.05319148936170213
Yahoo,2024-09-27,5,0.9503041225852389,66,0.07575757575757576
Yahoo,2024-09-28,1,0.8762462213635445,8,0.125
Yahoo,2024-09-29,4,0.9375145056030967,11,0.36363636363636365
Yahoo,2024-09-30,1,0.9366383507566632,53,0.018867924528301886
Yahoo,2024-10-01,2,0.9659777445097765,48,0.041666666666666664
Yahoo,2024-10-02,6,0.9168782686365062,58,0.10344827586206896
Yahoo,2024-10-03,9,0.9674569763041831,74,0.12162162162162163
Yahoo,2024-10-04,7,0.9535123808368756,157,0.044585987261146494
Yahoo,2024-10-05,3,0.9206324490633878,11,0.2727272727272727
Yahoo,2024-10-06,4,0.9833955594471523,14,0.2857142857142857
Yahoo,2024-10-07,15,0.9629182037554289,95,0.15789473684210525
Yahoo,2024-10-08,-2,0.9422821830695783,71,-0.028169014084507043
Yahoo,2024-10-09,10,0.943944343498775,84,0.11904761904761904
Yahoo,2024-10-10,-12,0.9450832598445787,474,-0.02531645569620253
Yahoo,2024-10-11,20,0.955324397507039,176,0.11363636363636363
Yahoo,2024-10-12,5,0.9472934718315418,26,0.19230769230769232
Yahoo,2024-10-13,3,0.9348423097814832,14,0.21428571428571427
Yahoo,2024-10-14,9,0.9180453775020746,130,0.06923076923076923
Yahoo,2024-10-15,-27,0.9400494026939898,241,-0.11203319502074689
Yahoo,2024-10-16,-3,0.9469629970090142,145,-0.020689655172413793
Yahoo,2024-10-17,-13,0.933093601640533,170,-0.07647058823529412
Yahoo,2024-10-18,7,0.9377098757682777,164,0.042682926829268296
Yahoo,2024-10-19,-1,0.9367578824361166,3,-0.3333333333333333
Yahoo,2024-10-20,3,0.9909006219643813,13,0.23076923076923078
Yahoo,2024-10-21,5,0.9431785284462622,118,0.0423728813559322
Yahoo,2024-10-22,-10,0.9330771564240437,249,-0.040160642570281124
Yahoo,2024-10-23,7,0.9463062323019152,122,0.05737704918032787
Yahoo,2024-10-24,5,0.9502579539250104,117,0.042735042735042736
Yahoo,2024-10-25,4,0.9375724431240198,99,0.04040404040404041
Yahoo,2024-10-26,0,0.9486286072503953,21,0.0
Yahoo,2024-10-27,1,0.9239155564989362,14,0.07142857142857142
Yahoo,2024-10-28,6,0.9511977906028429,120,0.05
Yahoo,2024-10-29,29,0.9450486025962221,1255,0.023107569721115537
Yahoo,2024-10-30,19,0.9449760075698275,938,0.02025586353944563
