Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-09-06,BAND,Technology,Software Infrastructure,510.863M,17.040000915527344,17.110000610351562,15.890000343322754,15.90999984741211,15.90999984741211,283000,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,BAND,Technology,Software Infrastructure,510.863M,15.890000343322754,16.415000915527344,15.8149995803833,16.149999618530273,16.149999618530273,250900,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,BAND,Technology,Software Infrastructure,510.863M,16.25,16.540000915527344,15.9399995803833,16.459999084472656,16.459999084472656,177400,-20.0,0.91783753740941,233.0,-0.0858369098712446,-3548000.0,-11.357234314980793
2024-09-11,BAND,Technology,Software Infrastructure,510.863M,16.200000762939453,16.459999084472656,15.895000457763672,16.290000915527344,16.290000915527344,147700,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-12,BAND,Technology,Software Infrastructure,510.863M,16.459999084472656,16.700000762939453,16.149999618530273,16.31999969482422,16.31999969482422,207400,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,BAND,Technology,Software Infrastructure,510.863M,16.610000610351562,17.459999084472656,16.610000610351562,17.40999984741211,17.40999984741211,188800,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,BAND,Technology,Software Infrastructure,510.863M,17.440000534057617,17.719999313354492,17.229999542236328,17.59000015258789,17.59000015258789,165400,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,BAND,Technology,Software Infrastructure,510.863M,17.81999969482422,18.086000442504883,17.25,17.31999969482422,17.31999969482422,157000,1.0,0.944082956857632,193.0,0.005181347150259,157000.0,1.0
2024-09-18,BAND,Technology,Software Infrastructure,510.863M,17.299999237060547,18.17300033569336,17.190000534057617,17.360000610351562,17.360000610351562,178900,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,BAND,Technology,Software Infrastructure,510.863M,18.020000457763672,18.020000457763672,17.395000457763672,17.56999969482422,17.56999969482422,119300,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20,BAND,Technology,Software Infrastructure,510.863M,17.450000762939453,17.540000915527344,17.219999313354492,17.229999542236328,17.229999542236328,351700,1.0,0.9023206501171508,29.0,0.0344827586206896,351700.0,1.0
2024-09-23,BAND,Technology,Software Infrastructure,510.863M,17.43000030517578,17.43000030517578,17.059999465942383,17.280000686645508,17.280000686645508,145500,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,BAND,Technology,Software Infrastructure,510.863M,17.459999084472656,17.604999542236328,17.170000076293945,17.43000030517578,17.43000030517578,162000,10.0,0.9456729946455152,202.0,0.0495049504950495,1620000.0,1.0
2024-09-25,BAND,Technology,Software Infrastructure,510.863M,17.420000076293945,17.420000076293945,17.09000015258789,17.110000610351562,17.110000610351562,125000,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,BAND,Technology,Software Infrastructure,510.863M,17.540000915527344,17.540000915527344,17.110000610351562,17.139999389648438,17.139999389648438,214800,1.0,0.7873295545578003,2.0,0.5,214800.0,0.1325925925925926
2024-09-27,BAND,Technology,Software Infrastructure,510.863M,17.3799991607666,17.639999389648438,17.139999389648438,17.31999969482422,17.31999969482422,203900,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,BAND,Technology,Software Infrastructure,510.863M,17.15999984741211,17.75,17.15999984741211,17.510000228881836,17.510000228881836,173600,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,BAND,Technology,Software Infrastructure,510.863M,17.469999313354492,17.469999313354492,16.649999618530273,17.200000762939453,17.200000762939453,188700,-6.0,0.9346888243856996,202.0,-0.0297029702970297,-1132200.0,-0.6988888888888889
2024-10-02,BAND,Technology,Software Infrastructure,510.863M,17.0,17.450000762939453,16.8700008392334,17.420000076293945,17.420000076293945,140600,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,BAND,Technology,Software Infrastructure,510.863M,17.350000381469727,17.3799991607666,17.09000015258789,17.1200008392334,17.1200008392334,85500,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,BAND,Technology,Software Infrastructure,510.863M,17.530000686645508,17.780000686645508,17.360000610351562,17.770000457763672,17.770000457763672,123800,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-07,BAND,Technology,Software Infrastructure,510.863M,17.729999542236328,17.899999618530273,17.3700008392334,17.579999923706055,17.579999923706055,106700,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,BAND,Technology,Software Infrastructure,510.863M,17.520000457763672,17.625,17.290000915527344,17.329999923706055,17.329999923706055,86200,5.0,0.953343225294544,155.0,0.032258064516129,431000.0,1.0
2024-10-09,BAND,Technology,Software Infrastructure,510.863M,17.239999771118164,17.709999084472656,17.1299991607666,17.149999618530273,17.149999618530273,146000,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,BAND,Technology,Software Infrastructure,510.863M,16.899999618530273,17.309999465942383,16.770000457763672,17.049999237060547,17.049999237060547,94000,4.0,0.9454942605549232,133.0,0.0300751879699248,376000.0,0.8723897911832946
2024-10-11,BAND,Technology,Software Infrastructure,510.863M,16.68000030517578,17.399999618530273,16.68000030517578,17.270000457763672,17.270000457763672,182700,1.0,0.9424072905462616,49.0,0.0204081632653061,182700.0,0.4238979118329466
2024-10-14,BAND,Technology,Software Infrastructure,510.863M,17.229999542236328,17.31999969482422,16.920000076293945,17.100000381469727,17.100000381469727,210100,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,BAND,Technology,Software Infrastructure,510.863M,17.040000915527344,17.489999771118164,17.03499984741211,17.239999771118164,17.239999771118164,378100,-19.0,0.9439356382170768,438.0,-0.0433789954337899,-7183900.0,-16.66798143851508
2024-10-16,BAND,Technology,Software Infrastructure,510.863M,17.479999542236328,17.874000549316406,17.299999237060547,17.799999237060547,17.799999237060547,619900,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,BAND,Technology,Software Infrastructure,510.863M,17.780000686645508,17.950000762939453,17.280000686645508,17.93000030517578,17.93000030517578,331600,1.0,0.999335507551829,3.0,0.3333333333333333,331600.0,0.8819148936170212
